"Warehouses","Warehouses"
"Synchronize with API","Synchronize with API"
"Nova Poshta","Nova Poshta"
"City and Warehouse API synchronization finished","City and Warehouse API synchronization finished"
"Error during synchronization: %s","Error during synchronization: %s"
"Store city not defined.","Store city not defined."
"No warehouses received","No warehouses received"
"Invalid Warehouse.","Invalid Warehouse."
"Request XML:","Request XML:"
"Response status code:","Response status code:"
"Response body:","Response body:"
"Server error, response status:","Server error, response status:"
"Novaposhta Api error","Novaposhta Api error"
"Delivery to Nova Poshta warehouse","Delivery to Nova Poshta warehouse"
"-- Please Select --","-- Please Select --"
"Loading, please wait...","Loading, please wait..."
"Delivery Date","Delivery Date"
"Shipping Price","Shipping Price"
"Please choose city:","Please choose city:"
"Please choose warehouse:","Please choose warehouse:"
"Title","Title"
"Sort Order","Sort Order"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Displayed Error Message","Displayed Error Message"
"Sender's City","Sender's City"
"Shipping Date Offset (Days)","Shipping Date Offset (Days)"
"Api URL","Api URL"
"Api Key","Api Key"
"Default Package Length (mm)","Default Package Length (mm)"
"Default Package Width (mm)","Default Package Width (mm)"
"Default Package Height (mm)","Default Package Height (mm)"
"Default Package Weight (mm)","Default Package Weight (mm)"
"Include Postpay to Shipping","Include Postpay to Shipping"
"Enable Log","Enable Log"
"Address","Address"
"City","City"
"Phone","Phone"
"Max Weight","Max Weight"
