"Warehouses","Склады"
"Synchronize with API","Синхронизировать с API"
"Nova Poshta","Новая Почта"
"City and Warehouse API synchronization finished","Синхронизация городов и складов через API окончена"
"Error during synchronization: %s","Во время синхронизации возникла ошибка: %s"
"Store city not defined.","Город магазина не указан."
"No warehouses received","Не удалось получить склады"
"Invalid Warehouse.","Неправильный склад."
"Request XML:","XML запрос:"
"Response status code:","Код статуса ответа:"
"Response body:","Тело ответа:"
"Server error, response status:","Ошибка сервера, статус ответа:"
"Novaposhta Api error","Ошибка API Новой Почты"
"Delivery to Nova Poshta warehouse","Доставка на склад Новой Почты"
"-- Please Select --","-- Выберите --"
"Loading, please wait...","Загрузка, пожалуйста подождите..."
"Delivery Date","Дата доставки"
"Shipping Price","Стоимость доставки"
"Please choose city:","Пожалуйста, выберите город:"
"Please choose warehouse:","Пожалуйста, выберите склад:"
"Title","Заголовок"
"Sort Order","Порядковый номер"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Displayed Error Message","Displayed Error Message"
"Sender's City","Город магазина"
"Shipping Date Offset (Days)","Сдвиг даты доставки (Дни)"
"Api URL","API URL"
"Api Key","API Ключ"
"Default Package Length (mm)","Длина посылки по-умолчанию (мм)"
"Default Package Width (mm)","Ширина посылки по-умолчанию (мм)"
"Default Package Height (mm)","Высота посылки по-умолчанию (мм)"
"Default Package Weight (mm)","Вес посылки по-умолчанию (г)"
"Include Postpay to Shipping","Include Postpay to Shipping"
"Enable Log","Включить Журнал"
"Address","Адрес"
"City","Город"
"Phone","Телефон"
"Max Weight","Максимальный вес"
